id,annotator,start,end,category,class,
vsteyer_1490783956066,vsteyer,724,735,Segment1,unit,
vsteyer_1490783956067,vsteyer,736,780,Segment1bis,unit,
vsteyer_1490783956068,vsteyer,787,798,Segment2,unit,
vsteyer_1490783956069,vsteyer,805,852,Segment1,unit,
vsteyer_1490783956070,vsteyer,853,911,Segment1bis,unit,
vsteyer_1490783956071,vsteyer,912,973,Segment1,unit,
vsteyer_1490783956072,vsteyer,980,1030,Segment2,unit,
vsteyer_1490783956073,vsteyer,1038,1113,Segment1,unit,
vsteyer_1490784030936,vsteyer,1037,1112,Segment1,unit,
vsteyer_1490784067525,vsteyer,0,5,Segment2,unit,
